time_start	time_end	duration
25295	25306	11
15193	15204	11
19854	19870	16
4141	4154	13
13268	13279	11
2904	2917	13
20544	20556	12
14244	14256	12
10174	10187	13
23419	23431	12
20682	20693	11
21088	21099	11
2827	2840	13
1854	1869	15
16054	16065	11
15506	15518	12
8408	8423	15
11919	11930	11
18099	18111	12
25779	25790	11
10572	10587	15
27205	27216	11
27930	27941	11
21977	21989	12
2542	2553	11
12265	12276	11
6897	6913	16
20732	20744	12
25106	25117	11
14626	14637	11
23721	23732	11
3982	4000	18
27904	27918	14
19682	19693	11
20939	20953	14
27789	27804	15
15699	15710	11
25216	25227	11
